"CBSA","CSA","Type","Name"
"10020","318","Micro","Abbeville, LA"
"10100",,"Micro","Aberdeen, SD"
"10140",,"Micro","Aberdeen, WA"
"10180",,"Metro","Abilene, TX"
"10220",,"Micro","Ada, OK"
"10260",,"Micro","Adjuntas, PR"
"10300",,"Micro","Adrian, MI"
"10380",,"Metro","Aguadilla-Isabela-San Sebastian, PR"
"10420","184","Metro","Akron, OH"
"10460",,"Micro","Alamogordo, NM"
"10500",,"Metro","Albany, GA"
"10540","102","Micro","Albany-Lebanon, OR"
"10580","104","Metro","Albany-Schenectady-Troy, NY"
"10620","172","Micro","Albemarle, NC"
"10660",,"Micro","Albert Lea, MN"
"10700",,"Micro","Albertville, AL"
"10740",,"Metro","Albuquerque, NM"
"10760","388","Micro","Alexander City, AL"
"10780",,"Metro","Alexandria, LA"
"10820",,"Micro","Alexandria, MN"
"10860",,"Micro","Alice, TX"
"10880","266","Micro","Allegan, MI"
"10900",,"Metro","Allentown-Bethlehem-Easton, PA-NJ"
"10940",,"Micro","Alma, MI"
"10980",,"Micro","Alpena, MI"
"11020",,"Metro","Altoona, PA"
"11060",,"Micro","Altus, OK"
"11100",,"Metro","Amarillo, TX"
"11140",,"Micro","Americus, GA"
"11180","112","Metro","Ames, IA"
"11220","104","Micro","Amsterdam, NY"
"11260",,"Metro","Anchorage, AK"
"11300","294","Metro","Anderson, IN"
"11340","273","Metro","Anderson, SC"
"11380",,"Micro","Andrews, TX"
"11420","258","Micro","Angola, IN"
"11460","220","Metro","Ann Arbor, MI"
"11500",,"Metro","Anniston-Oxford, AL"
"11540","118","Metro","Appleton, WI"
"11580",,"Micro","Arcadia, FL"
"11620",,"Micro","Ardmore, OK"
"11660",,"Micro","Arkadelphia, AR"
"11700","120","Metro","Asheville, NC"
"11740",,"Micro","Ashland, OH"
"11780","184","Micro","Ashtabula, OH"
"11820",,"Micro","Astoria, OR"
"11860","312","Micro","Atchison, KS"
"11900",,"Micro","Athens, OH"
"11940","174","Micro","Athens, TN"
"11980","206","Micro","Athens, TX"
"12020",,"Metro","Athens-Clarke County, GA"
"12060","122","Metro","Atlanta-Sandy Springs-Marietta, GA"
"12100",,"Metro","Atlantic City-Hammonton, NJ"
"12140","258","Micro","Auburn, IN"
"12180","532","Micro","Auburn, NY"
"12220","194","Metro","Auburn-Opelika, AL"
"12260",,"Metro","Augusta-Richmond County, GA-SC"
"12300",,"Micro","Augusta-Waterville, ME"
"12380",,"Micro","Austin, MN"
"12420",,"Metro","Austin-Round Rock-San Marcos, TX"
"12460",,"Micro","Bainbridge, GA"
"12540",,"Metro","Bakersfield-Delano, CA"
"12580","548","Metro","Baltimore-Towson, MD"
"12620",,"Metro","Bangor, ME"
"12660","358","Micro","Baraboo, WI"
"12700",,"Metro","Barnstable Town, MA"
"12740",,"Micro","Barre, VT"
"12780","538","Micro","Bartlesville, OK"
"12820","384","Micro","Bastrop, LA"
"12860","464","Micro","Batavia, NY"
"12900",,"Micro","Batesville, AR"
"12940","132","Metro","Baton Rouge, LA"
"12980",,"Metro","Battle Creek, MI"
"13020","474","Metro","Bay City, MI"
"13060","288","Micro","Bay City, TX"
"13100",,"Micro","Beatrice, NE"
"13140",,"Metro","Beaumont-Port Arthur, TX"
"13180","252","Micro","Beaver Dam, WI"
"13220","138","Micro","Beckley, WV"
"13260",,"Micro","Bedford, IN"
"13300",,"Micro","Beeville, TX"
"13340",,"Micro","Bellefontaine, OH"
"13380",,"Metro","Bellingham, WA"
"13420",,"Micro","Bemidji, MN"
"13460","140","Metro","Bend, OR"
"13500",,"Micro","Bennettsville, SC"
"13540",,"Micro","Bennington, VT"
"13620",,"Micro","Berlin, NH-VT"
"13644",,"Div","Bethesda-Rockville-Frederick, MD"
"13660",,"Micro","Big Rapids, MI"
"13700",,"Micro","Big Spring, TX"
"13740",,"Metro","Billings, MT"
"13780",,"Metro","Binghamton, NY"
"13820","142","Metro","Birmingham-Hoover, AL"
"13860",,"Micro","Bishop, CA"
"13900",,"Metro","Bismarck, ND"
"13940","292","Micro","Blackfoot, ID"
"13980",,"Metro","Blacksburg-Christiansburg-Radford, VA"
"14020",,"Metro","Bloomington, IN"
"14060",,"Metro","Bloomington-Normal, IL"
"14100",,"Micro","Bloomsburg-Berwick, PA"
"14140",,"Micro","Bluefield, WV-VA"
"14180",,"Micro","Blytheville, AR"
"14220","406","Micro","Bogalusa, LA"
"14260",,"Metro","Boise City-Nampa, ID"
"14300","206","Micro","Bonham, TX"
"14340","112","Micro","Boone, IA"
"14380",,"Micro","Boone, NC"
"14420",,"Micro","Borger, TX"
"14460","148","Metro","Boston-Cambridge-Quincy, MA-NH"
"14484",,"Div","Boston-Quincy, MA"
"14500","216","Metro","Boulder, CO"
"14540",,"Metro","Bowling Green, KY"
"14580",,"Micro","Bozeman, MT"
"14620",,"Micro","Bradford, PA"
"14660",,"Micro","Brainerd, MN"
"14700",,"Micro","Branson, MO"
"14740","500","Metro","Bremerton-Silverdale, WA"
"14780",,"Micro","Brenham, TX"
"14820","120","Micro","Brevard, NC"
"14860","408","Metro","Bridgeport-Stamford-Norwalk, CT"
"14940","482","Micro","Brigham City, UT"
"15020",,"Micro","Brookhaven, MS"
"15060",,"Micro","Brookings, OR"
"15100",,"Micro","Brookings, SD"
"15140",,"Micro","Brownsville, TN"
"15180","154","Metro","Brownsville-Harlingen, TX"
"15220",,"Micro","Brownwood, TX"
"15260",,"Metro","Brunswick, GA"
"15340","360","Micro","Bucyrus, OH"
"15380","160","Metro","Buffalo-Niagara Falls, NY"
"15420",,"Micro","Burley, ID"
"15460",,"Micro","Burlington, IA-IL"
"15500","268","Metro","Burlington, NC"
"15540",,"Metro","Burlington-South Burlington, VT"
"15580",,"Micro","Butte-Silver Bow, MT"
"15620",,"Micro","Cadillac, MI"
"15660",,"Micro","Calhoun, GA"
"15700",,"Micro","Cambridge, MD"
"15740",,"Micro","Cambridge, OH"
"15764",,"Div","Cambridge-Newton-Framingham, MA"
"15780",,"Micro","Camden, AR"
"15804",,"Div","Camden, NJ"
"15820",,"Micro","Campbellsville, KY"
"15860",,"Micro","Canon City, CO"
"15900","426","Micro","Canton, IL"
"15940",,"Metro","Canton-Massillon, OH"
"15980",,"Metro","Cape Coral-Fort Myers, FL"
"16020","164","Metro","Cape Girardeau-Jackson, MO-IL"
"16060","166","Micro","Carbondale, IL"
"16100",,"Micro","Carlsbad-Artesia, NM"
"16180",,"Metro","Carson City, NV"
"16220",,"Metro","Casper, WY"
"16260",,"Micro","Cedar City, UT"
"16300",,"Metro","Cedar Rapids, IA"
"16340","122","Micro","Cedartown, GA"
"16380",,"Micro","Celina, OH"
"16420",,"Micro","Central City, KY"
"16460",,"Micro","Centralia, IL"
"16500",,"Micro","Centralia, WA"
"16540",,"Micro","Chambersburg, PA"
"16580",,"Metro","Champaign-Urbana, IL"
"16620",,"Metro","Charleston, WV"
"16660",,"Micro","Charleston-Mattoon, IL"
"16700",,"Metro","Charleston-North Charleston-Summerville, SC"
"16740","172","Metro","Charlotte-Gastonia-Rock Hill, NC-SC"
"16820",,"Metro","Charlottesville, VA"
"16860","174","Metro","Chattanooga, TN-GA"
