"MA","ST","Population","City"
"004","TX",269445,"Abilene"
"006","PR",248253,"Aguadilla"
"007","MA",6362286,"Boston-Worcester-Lawrence, MA-NH-ME-CT"
"012","GA",417080,"Albany"
"014","IL",9496915,"Chicago-Gary-Kenosha, IL-IN-WI"
"016","NY",1079836,"Albany-Schenectady-Troy"
"020","NM",1030186,"Albuquerque"
"021","OH",2278269,"Cincinnati-Hamilton, OH-KY-IN"
"022","LA",390072,"Alexandria"
"024","PA",736589,"Allentown-Bethlehem-Easton"
"027","PA",169717,"Altoona"
"028","OH",3158614,"Cleveland-Akron"
"031","TX",5691967,"Dallas-Fort Worth"
"032","TX",527015,"Amarillo"
"034","CO",2890257,"Denver-Boulder-Greeley"
"035","MI",5619690,"Detroit-Ann Arbor-Flint"
"038","AK",624992,"Anchorage"
"042","TX",4934501,"Houston-Galveston-Brazoria"
"045","AL",185851,"Anniston"
"046","WI",550711,"Appleton-Oshkosh-Neenah"
"048","NC",419820,"Asheville"
"049","CA",16517400,"Los Angeles-Riverside-Orange County"
"050","GA",289145,"Athens"
"052","GA",4822988,"Atlanta"
"056","FL",3955907,"Miami-Fort Lauderdale"
"058","AL",180169,"Auburn-Opelika"
"060","GA",660677,"Augusta-Aiken, GA-SC"
"063","WI",1819114,"Milwaukee-Racine"
"064","TX",1381159,"Austin-San Marcos"
"068","CA",665223,"Bakersfield"
"070","NY",21548389,"New York-Northern New Jersey-Long Island, NY-NJ-CT"
"073","ME",420267,"Bangor"
"074","MA",247670,"Barnstable-Yarmouth"
"076","LA",813601,"Baton Rouge"
"077","PA",6228947,"Philadelphia-Wilmington-Atlantic City, PA-NJ-DE-MD"
"079","OR",2634232,"Portland-Vancouver, OR-WA"
"082","CA",1998276,"Sacramento-Yolo"
"083","TX",470889,"Beaumont-Port Arthur"
"084","CA",7188604,"San Francisco-Oakland-San Jose"
"086","WA",217671,"Bellingham"
"087","MI",188318,"Benton Harbor"
"089","PR",2652754,"San Juan-Caguas-Arecibo"
"088","MT",283219,"Billings"
"091","WA",3974171,"Seattle-Tacoma-Bremerton"
"092","MS",401462,"Biloxi-Gulfport-Pascagoula"
"096","NY",444078,"Binghamton"
"097","DC",8148625,"Washington-Baltimore, DC-MD-VA-WV"
"100","AL",1083451,"Birmingham"
"101","ND",360090,"Bismarck"
"102","IN",218263,"Bloomington"
"104","IL",183810,"Bloomington-Normal"
"108","ID",677804,"Boise"
"124","TX",341455,"Brownsville-Harlingen-San Benito"
"126","TX",254952,"Bryan-College Station"
"128","NY",1252038,"Buffalo-Niagara Falls"
"130","VT",542679,"Burlington"
"132","OH",566611,"Canton-Massillon"
"135","WY",205591,"Casper"
"136","IA",265378,"Cedar Rapids"
"140","IL",305433,"Champaign-Urbana"
"144","SC",714744,"Charleston-North Charleston"
"148","WV",571708,"Charleston"
"152","NC",1882759,"Charlotte-Gastonia-Rock Hill, NC-SC"
"154","VA",439375,"Charlottesville"
"156","TN",831016,"Chattanooga, TN-GA"
"158","WY",192962,"Cheyenne"
"162","CA",259739,"Chico-Paradise"
"166","TN",535994,"Clarksville-Hopkinsville, TN-KY"
"172","CO",633264,"Colorado Springs"
"174","MO",476146,"Columbia"
"176","SC",700059,"Columbia"
"180","GA",401927,"Columbus, GA-AL"
"184","OH",2012453,"Columbus"
"188","TX",506604,"Corpus Christi"
"189","OR",100327,"Corvallis"
"190","MD",210023,"Cumberland, MD-WV"
"195","VA",239401,"Danville"
